time_years,quartz,CSH,ettringite,thaumasite,monosulphate,monocarbonate,hydrotalcite,Kuzel_s,Friedel_s,straetlingite,calcite,MSH,gypsum,portlandite,zeolites,hydrogarnet,ferrihydrite,Al(OH)3(mic)
780.0,523.0895853039775,289.3349421473721,0.0,38.527821295171464,0.0,0.0,10.060523878217179,0.0,0.0,0.0,63.00361501697445,0.0,0.0,0.0,23.460245193323036,0.0,5.62618636751355,0.0
781.0,523.0231350070932,289.43361761733144,0.0,38.5275897440579,0.0,0.0,10.060523878002696,0.0,0.0,0.0,63.00363968006062,0.0,0.0,0.0,23.460471989927452,0.0,5.626186368013586,0.0
782.0,522.9567442165334,289.53221864723486,0.0,38.52735777810725,0.0,0.0,10.060523877787094,0.0,0.0,0.0,63.00366438997814,0.0,0.0,0.0,23.460697494277756,0.0,5.626186368512428,0.0
783.0,522.8904129122438,289.6307451327197,0.0,38.527125448459394,0.0,0.0,10.060523877570379,0.0,0.0,0.0,63.00368914117581,0.0,0.0,0.0,23.460921719375463,0.0,5.6261863690101555,0.0
784.0,522.8241410743329,289.72919705326416,0.0,38.52689266304882,0.0,0.0,10.060523877352527,0.0,0.0,0.0,63.00371394365733,0.0,0.0,0.0,23.461144672492342,0.0,5.626186369506642,0.0
785.0,522.7579286832956,289.827574307578,0.0,38.52665946992436,0.0,0.0,10.060523877133551,0.0,0.0,0.0,63.0037387922082,0.0,0.0,0.0,23.461366366283197,0.0,5.626186370001962,0.0
786.0,522.6917757197934,289.9258768263647,0.0,38.526425862956074,0.0,0.0,10.060523876913438,0.0,0.0,0.0,63.003763687498555,0.0,0.0,0.0,23.461586811161734,0.0,5.626186370496114,0.0
787.0,522.6256821647396,290.02410455138266,0.0,38.52619181760687,0.0,0.0,10.060523876692182,0.0,0.0,0.0,63.003788632196645,0.0,0.0,0.0,23.46180601677705,0.0,5.62618637098907,0.0
788.0,522.5596479993281,290.12225740012207,0.0,38.52595735221177,0.0,0.0,10.060523876469778,0.0,0.0,0.0,63.00381362431562,0.0,0.0,0.0,23.462023994258193,0.0,5.6261863714808635,0.0
789.0,522.4936732049666,290.2203352795895,0.0,38.525722503414265,0.0,0.0,10.06052387624623,0.0,0.0,0.0,63.00383865987937,0.0,0.0,0.0,23.462240755195158,0.0,5.626186371971548,0.0
790.0,522.4277577632466,290.3183381629029,0.0,38.52548719659181,0.0,0.0,10.060523876021525,0.0,0.0,0.0,63.00386374699726,0.0,0.0,0.0,23.46245630716431,0.0,5.62618637246103,0.0
791.0,522.3619016561175,290.4162659375034,0.0,38.52525150293619,0.0,0.0,10.060523875795658,0.0,0.0,0.0,63.00388887794072,0.0,0.0,0.0,23.4626706627501,0.0,5.62618637294941,0.0
792.0,522.2961048656604,290.51411858665216,0.0,38.525015332414505,0.0,0.0,10.060523875568622,0.0,0.0,0.0,63.00391406249255,0.0,0.0,0.0,23.46288382888215,0.0,5.626186373436576,0.0
793.0,522.230367374337,290.61189597610195,0.0,38.524778794520564,0.0,0.0,10.060523875340424,0.0,0.0,0.0,63.00393928876469,0.0,0.0,0.0,23.4630958191291,0.0,5.6261863739226765,0.0
794.0,522.16468916468,290.7095980805102,0.0,38.5245418152171,0.0,0.0,10.060523875111048,0.0,0.0,0.0,63.003964564802466,0.0,0.0,0.0,23.463306640793192,0.0,5.626186374407621,0.0
